ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
589,"Alere Home Monitoring, Inc",CA,116506,2012-09-23,Theft,Laptop,2014-01-23,2012-01-01,9,3,32,4,11,16
590,"Coastal home Respiratory, LLP",GA,3440,2012-10-04,Theft,Other,2014-01-23,2012-01-01,10,4,178,10,11,34
591," Philip P Corneliuson, DDS, INC.",CA,980,2012-09-15,Theft,Desktop Computer,2014-01-23,2012-01-01,9,3,1,4,11,0
592,"First Step Counseling, Inc.",NJ,638,2011-05-01,Theft,Paper,2014-06-03,2011-01-01,5,2,262,31,11,40
593,"Logan Community Resources, Inc.",IN,2900,2012-08-24,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,8,3,461,15,0,30
594,"David DiGiallorenzo, D.M.D.",PA,2600,2012-09-17,"Unauthorized Access/Disclosure, Hacking/IT Incident","Network Server, Electronic Medical Record",2014-01-23,2012-01-01,9,3,216,38,24,32
595,CVS Caremark,RI,955,2012-08-13,Theft,Paper,2014-01-23,2012-01-01,8,3,117,40,11,40
596,Memorial Hospital,OH,500,2012-08-29,Improper Disposal,Paper,2014-03-24,2012-01-01,8,3,507,35,2,40
597,"SURGICAL ASSOCIATES OF UTICA, PC",NY,1017,2012-09-18,Theft,Network Server,2014-06-20,2012-01-01,9,3,688,34,11,30
598,Illinois Department of Healthcare and Family Services,IL,508,2012-08-31,Theft,Paper,2014-03-24,2012-01-01,8,3,369,14,11,40
599,Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,2560,2012-01-01,Theft,Electronic Medical Record,2014-01-23,2012-01-01,1,1,516,9,11,14
600,"WYATT DENTAL GROUP, LLC",LA,10271,2011-11-04,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,2011-01-01,11,4,936,18,19,14
601,Women & Infants Hospital of Rhode Island,RI,14004,2012-09-13,Loss,Other,2014-01-23,2012-01-01,9,3,953,40,4,34
602,Memorial Health System,CO,6262,2012-05-01,Loss,Paper,2014-01-23,2012-01-01,5,2,505,5,4,40
603,CHRISTUS St. John Hospital,TX,5748,2012-09-25,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,9,3,113,44,4,35
604,L.A. Care Health Plan,CA,18000,2012-09-17,Other,Other,2014-01-23,2012-01-01,9,3,432,4,10,34
605,"Hawaii State Department of Health, Adult Mental Health Division",HI,674,2012-09-25,Hacking/IT Incident,Desktop Computer,2014-01-23,2012-01-01,9,3,322,11,0,0
606,"Soundental Associates, PC",CT,14511,2012-09-24,Theft,Other Portable Electronic Device,2014-02-19,2012-01-01,9,3,728,6,11,35
607,"Original Medicine Acupuncture & Wellness, LLC",NM,540,2012-09-07,Theft,Laptop,2014-01-23,2012-01-01,9,3,601,32,11,16
608,Brigham and Women's Hospital,MA,615,2012-10-16,Theft,Desktop Computer,2014-01-23,2012-01-01,10,4,102,19,11,0
609,"St. Francis Health Network, aka Franciscan Alliance ACO",IN,2575,2012-10-19,Other,Other,2014-01-23,2012-01-01,10,4,750,15,10,34
610,"James M. McGee, D.M.D., P.C.",GA,1306,2012-09-19,Theft,Paper,2014-01-23,2012-01-01,9,3,394,10,11,40
611,Robbins Eye Center PC,CT,1749,2012-10-07,Theft,Desktop Computer,2014-01-23,2012-01-01,10,4,671,6,11,0
612,"Advanced Data Processing, Inc.",FL,10000,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,15,9,11,0
613,Cuyahoga County Board of Developmental Disabilities,OH,613,2012-11-02,Theft,Laptop,2014-03-24,2012-01-01,11,4,209,35,11,16
614,Okaloosa County Public Safety,FL,715,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,590,9,11,0
615,City of Covington Kentucky Fire Department ,KY,1548,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,166,17,11,0
616,Northern Trust,IL,500,2012-09-13,Unauthorized Access/Disclosure,Network Server,2014-03-24,2012-01-01,9,3,578,14,22,30
617,Vidant Pungo Hospital,NC,1100,2012-10-04,Improper Disposal,Paper,2014-01-23,2012-01-01,10,4,925,27,2,40
618,County of San Bernardino Department of Public Heatlh,CA,1370,2012-09-28,Unauthorized Access/Disclosure,Paper,2014-01-23,2012-01-01,9,3,203,4,22,40
619,City of Overland Park Fire Department,FL,911,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,172,9,11,0
620,Sumner County Emergency Medical Services,TN,774,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,784,43,11,0
621,City of El Centro Fire Department,CA,1500,2012-10-01,"Theft, Unauthorized Access/Disclosure",Desktop Computer,2014-01-23,2012-01-01,10,4,167,4,19,0
622,Landmark Medical Center,RI,683,2012-10-01,Theft,Laptop,2014-01-23,2012-01-01,10,4,446,40,11,16
623,City of Atlanta/ Atlanta Fire Rescue Department,GA,908,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,162,10,11,0
624,University of Virginia Medical Center,VA,1846,2012-10-05,Loss,Other Portable Electronic Device,2014-02-14,2012-01-01,10,4,904,46,4,35
625,Osceola County EMS ,FL,949,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,605,9,11,0
626,Carolinas Medical Center - Randolph,NC,5600,2012-03-11,Hacking/IT Incident,E-mail,2014-01-23,2012-01-01,3,1,137,27,0,11
627,"Coastal Behavioral Healthcare, Inc.",FL,4907,2011-04-11,Theft,Paper,2014-01-23,2011-01-01,4,2,177,9,11,40
628,"CCS Medical, Inc.",TX,6601,2012-05-01,Unauthorized Access/Disclosure,"Network Server, Other",2014-01-23,2012-01-01,5,2,109,44,22,33
629,"City of Gloucester, Fire Department",MA,1286,2012-06-15,Theft,Desktop Computer,2014-01-23,2012-01-01,6,2,168,19,11,0
630,Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,4929,2012-10-12,Theft,Desktop Computer,2014-01-23,2012-01-01,10,4,184,34,11,0
631,Baptist Health System,AR,811,2012-10-13,Other,Paper,2014-01-23,2012-01-01,10,4,68,2,10,40
632,"DFA, Employee Benefits Division",AR,7039,2012-10-13,Other,Paper,2014-01-23,2012-01-01,10,4,211,2,10,40
633,Health Advantage,AR,2863,2012-10-13,Other,Paper,2014-01-23,2012-01-01,10,4,323,2,10,40
634,University of Michigan Health System,MI,3999,2012-11-14,Theft,Laptop,2014-01-23,2012-01-01,11,4,890,22,11,16
635,Westerville Dental Center,OH,850,2012-12-02,Theft,"Laptop, Network Server",2014-01-23,2012-01-01,12,4,947,35,11,25
636,"OHP PHSP, Inc.",NY,28187,2012-08-31,Unauthorized Access/Disclosure,Other,2014-01-23,2012-01-01,8,3,583,34,22,34
637,"Center for Orthopedic Research and Education, Inc.",AZ,35488,2012-10-20,Theft,Paper,2014-04-23,2012-01-01,10,4,141,3,11,40
638,Calif. Dept. of Health Care Services (DHCS),CA,2643,2012-12-10,Unauthorized Access/Disclosure,Other,2014-01-23,2012-01-01,12,4,120,4,22,34
639,Richard Switzer MD PC,MI,4100,2011-11-29,Other,Laptop,2014-03-24,2011-01-01,11,4,663,22,10,16
640,Gibson General Hospital,IN,28893,2012-11-27,Theft,Laptop,2014-03-24,2012-01-01,11,4,292,15,11,16
641,"Sovereign Medical Group, LLC",NJ,27800,2012-10-10,"Theft, Hacking/IT Incident",Network Server,2014-01-23,2012-01-01,10,4,742,31,12,30
642,"Cabinet for Health & Family Services, Department of Medicaid Services",KY,1090,2012-11-15,Hacking/IT Incident,Laptop,2014-01-23,2012-01-01,11,4,118,17,0,16
643,"Harbor Medical Associates, P.C.",MA,4343,2012-10-18,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,10,4,318,19,0,30
644,Sentara Healthcare,VA,56820,2012-11-14,Theft,Laptop,2014-02-14,2012-01-01,11,4,708,46,11,16
645,St. Mark's Medical Center,TX,2988,2012-05-21,Hacking/IT Incident,Desktop Computer,2014-01-23,2012-01-01,5,2,759,44,0,0
646,Group Health Incorporated,NY,1771,2012-11-13,Theft,Paper,2014-06-20,2012-01-01,11,4,304,34,11,40
647,"Calvin Schuster,MD",CA,532,2012-11-04,Theft,Desktop Computer,2014-01-23,2012-01-01,11,4,125,4,11,0
648,"Granite Medical Group, Inc.",MA,4125,2010-01-02,Hacking/IT Incident,Network Server,2014-02-19,2010-01-01,1,1,297,19,0,30
649,University of Nevada School of Medicine,NV,1483,2012-10-11,Improper Disposal,Paper,2014-01-23,2012-01-01,10,4,896,33,2,40
650,Dimensions Healthcare System,MD,635,2012-11-16,Unauthorized Access/Disclosure,Paper,2014-03-25,2012-01-01,11,4,233,20,22,40
651,SilverScript Insurance Company,AZ,852,2012-10-31,Unauthorized Access/Disclosure,Paper,2014-01-23,2012-01-01,10,4,721,3,22,40
652,South Jersey Hospital Inc.,NJ,8555,2012-11-14,Theft,Laptop,2014-01-23,2012-01-01,11,4,734,31,11,16
653,"Child & Family Psychological Services, Inc.",MA,7250,2012-10-18,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,10,4,157,19,0,30
654,Pousson Family Dentistry,LA,1400,2012-12-03,Theft,Laptop,2014-01-23,2012-01-01,12,4,631,18,11,16
655,South Shore Medical Center,MA,4100,2007-01-01,Hacking/IT Incident,Network Server,2014-01-23,2007-01-01,1,1,737,19,0,30
656,"Lee D. Pollan, DMD, PC",NY,19178,2012-11-06,Theft,Laptop,2014-05-28,2012-01-01,11,4,452,34,11,16
657,Washington University School of Medicine,MO,1105,2012-11-28,Theft,Laptop,2014-01-23,2012-01-01,11,4,941,24,11,16
658,Riderwood Village,MD,3230,2012-11-18,Theft,Laptop,2014-01-23,2012-01-01,11,4,664,20,11,16
659,WAYNE MEMORIAL HOSPITAL,PA,1184,2012-12-03,Loss,Other,2014-03-24,2012-01-01,12,4,933,38,4,34
660,Baptist Health System,TX,678,2011-08-14,Unauthorized Access/Disclosure,Electronic Medical Record,2014-03-13,2011-01-01,8,3,68,44,22,14
661,Baillie Lumber Co. Group Health Plan,NY,725,2012-11-27,Theft,Paper,2014-06-20,2012-01-01,11,4,66,34,11,40
662,The University of Texas MD Anderson Cancer Center,TX,29021,2012-04-30,Theft,Laptop,2014-01-23,2012-01-01,4,2,831,44,11,16
663,"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",WI,2400,2012-05-30,Theft,Paper,2014-03-24,2012-01-01,5,2,946,49,11,40
664,Boy Scouts of America Employee Benefit Plan,TX,8911,2012-09-15,Theft,Desktop Computer,2014-01-23,2012-01-01,9,3,98,44,11,0
665,Kmart Corporation,IL,16988,2013-01-02,Improper Disposal,Paper,2014-02-12,2013-01-01,1,1,429,14,2,40
666,Community Services NW,AL,2400,2012-12-06,Theft,Desktop Computer,2014-04-23,2012-01-01,12,4,188,1,11,0
667,American HomePatient Inc. ,TN,1103,2012-10-11,Theft,Laptop,2014-01-23,2012-01-01,10,4,40,43,11,16
668,Yadkinville Chiropractic DCPA,NC,1000,2013-02-01,Theft,Desktop Computer,2014-02-12,2013-01-01,2,1,957,27,11,0
669,"Intervention Services, Inc.",FL,1200,2013-01-19,Theft,Laptop,2014-01-23,2013-01-01,1,1,384,9,11,16
670,West Georgia Ambulance,GA,500,2012-12-13,Loss,Laptop,2014-01-23,2012-01-01,12,4,944,10,4,16
671,"Center for Pain Management, LLC",MD,5822,2013-01-22,Theft,Laptop,2014-01-23,2013-01-01,1,1,142,20,11,16
672,Multiple Health Plans,CA,1368,2013-12-07,"Theft, Other",Paper,2014-01-23,2013-01-01,12,4,547,4,18,40
673,Froedtert Health,WI,43549,2012-10-27,Unauthorized Access/Disclosure,Other,2014-03-24,2012-01-01,10,4,277,49,22,34
674,Jackson Health System,FL,566,2011-05-26,Other,Paper,2014-01-23,2011-01-01,5,2,390,9,10,40
675,Riderwood Village,MD,5270,2012-11-18,Theft,Laptop,2014-01-23,2012-01-01,11,4,664,20,11,16
676,"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",MA,716,2012-12-15,Theft,Other Portable Electronic Device,2014-01-23,2012-01-01,12,4,427,19,11,35
677,"HomeCare of Mid-Missouri, Inc.",MO,4027,2012-12-14,Theft,Laptop,2014-01-23,2012-01-01,12,4,349,24,11,16
678,Heyman HospiceCare at Floyd,GA,1819,2013-01-04,Theft,Laptop,2014-01-23,2013-01-01,1,1,343,10,11,16
679,Agency for Health Care Administration,FL,1892,2012-11-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2012-01-01,11,4,28,9,22,40
680,ABQ HealthPartners,NM,778,2012-12-20,Theft,Laptop,2014-01-23,2012-01-01,12,4,3,32,11,16
681,Terrell County Health Department,GA,18000,2012-01-09,Unauthorized Access/Disclosure,Network Server,2014-01-23,2012-01-01,1,1,801,10,22,30
682,Florida Healthy Kids Corporation,FL,3667,2012-11-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2012-01-01,11,4,266,9,22,40
683,Stronghold Counseling Services Inc,SD,8500,2012-12-24,Theft,Desktop Computer,2014-01-23,2012-01-01,12,4,781,42,11,0
684,Arizona Oncology,AZ,501,2012-11-21,Theft,Laptop,2014-01-23,2012-01-01,11,4,52,3,11,16
685,Crescent Health Inc. - a Walgreens Company,CA,109000,2012-12-28,Theft,Desktop Computer,2014-01-23,2012-01-01,12,4,206,4,11,0
686,"County of San Bernardino, Department of Behavioral Health",CA,686,2013-01-12,Theft,Paper,2014-01-23,2013-01-01,1,1,204,4,11,40
687,"WOMENS HEALTH ENTERPRISE, INC.",GA,3000,2013-01-02,Theft,Laptop,2014-01-23,2013-01-01,1,1,935,10,11,16
688,The Brookdale University Hospital and Medical Center,NY,2261,2012-08-11,Theft,Paper,2014-06-20,2012-01-01,8,3,812,34,11,40
689,The Brookdale University Hospital and Medical Center,NY,28187,2012-09-21,Theft,Other Portable Electronic Device,2014-06-20,2012-01-01,9,3,812,34,11,35
690,"Ultra Stores, Inc.",IL,500,2012-09-13,Unauthorized Access/Disclosure,Other,2014-03-24,2012-01-01,9,3,859,14,22,34
691,South Miami Hospital,FL,834,2011-06-01,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2011-01-01,6,2,735,9,22,14
692,Lancaster General Medical Group,PA,527,2013-02-05,Theft,Paper,2014-01-23,2013-01-01,2,1,445,38,11,40
693,Maine Medical Center,ME,1920,2013-02-27,Other,E-mail,2014-02-12,2013-01-01,2,1,485,21,10,11
694,"State of California, Dept. of Developmental Services",CA,18162,2012-11-10,Theft,Laptop,2014-01-23,2012-01-01,11,4,773,4,11,16
695,Utah Department of Health ,UT,6332,2013-01-10,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,1,1,909,45,4,35
696,Sports Rehabilitation Consultants,OH,1200,2013-02-01,Theft,Desktop Computer,2014-02-12,2013-01-01,2,1,747,35,11,0
697,University of Connecticut Health Center,CT,1382,2010-06-07,Unauthorized Access/Disclosure,Network Server,2014-01-23,2010-01-01,6,2,880,6,22,30
698,"United HomeCare Services, Inc.",FL,12299,2013-01-08,Theft,Laptop,2014-01-23,2013-01-01,1,1,864,9,11,16
699,United Home Care Services of Southwest Florida< LLC,FL,1318,2013-01-08,Theft,Laptop,2014-01-23,2013-01-01,1,1,863,9,11,16
700,"catoctin Dental/Richard B. Love, DDS, PA",MD,6400,2013-01-03,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,1,1,964,20,0,30
701,Empire Blue Cross Blue Shield,IN,2608,2011-11-01,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,2011-01-01,11,4,251,15,19,30
702,Anthem Blue Cross Blue Shield (OH),IN,1678,2011-11-01,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,2011-01-01,11,4,48,15,19,30
703,Anthem Blue Cross Blue Shield (IN),IN,528,2011-11-01,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,2011-01-01,11,4,47,15,19,30
704,Mount Sinai Medical Center,FL,628,2012-10-01,Theft,"Desktop Computer, Paper",2014-01-23,2012-01-01,10,4,544,9,11,10
705,"Thomas L. Davis, Jr. DDS",OR,3269,2013-02-12,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,2013-01-01,2,1,834,37,11,2
706,"HealthCare for Women, Inc.",MA,8727,2013-01-18,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,1,1,335,19,0,30
707,University of Mississippi Medical Center,MS,500,2012-11-01,Loss,Laptop,2014-01-23,2012-01-01,11,4,892,25,4,16
708,Granger Medical Clinic,UT,2600,2013-01-17,"Theft, Loss, Other",Paper,2014-02-12,2013-01-01,1,1,296,45,16,40
709,Texas Tech Unversity Health Sciences Center,TX,697,2013-02-18,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,2,1,810,44,22,40
710,Rite Aid #10217,RI,2082,2013-02-01,"Unknown, Other",Paper,2014-02-12,2013-01-01,2,1,665,40,28,40
711,WA Department of Social and Health Services,WA,629,2013-02-04,Theft,Laptop,2014-01-23,2013-01-01,2,1,930,48,11,16
712,Carpenters Health & Welfare Trust Fund for California,CA,2400,2013-03-11,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,3,1,138,4,22,40
713,"Shands Jacksonville Medical Center, Inc.",FL,1025,2012-05-02,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,2012-01-01,5,2,713,9,19,14
714,University of Florida,FL,14519,2009-03-01,"Theft, Unauthorized Access/Disclosure, Other",Network Server,2014-01-23,2009-01-01,3,1,881,9,21,30
715,Kmart Corporation,IL,12542,2013-03-17,Theft,Electronic Medical Record,2014-02-12,2013-01-01,3,1,429,14,11,14
716,GLENS FALLS HOSPITAL,NY,2360,2012-11-02,Theft,Network Server,2014-06-03,2012-01-01,11,4,280,34,11,30
717,Hospice and Palliative Care Center of Alamance Caswell,NC,5370,2013-02-24,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-01-23,2013-01-01,2,1,353,27,19,29
718,"Texas Health Care, P.L.L.C.",TX,554,2013-03-10,Theft,Paper,2014-01-23,2013-01-01,3,1,804,44,11,40
719,Network Health Insurance Corporation,WI,3794,2012-02-27,Unauthorized Access/Disclosure,Paper,2014-03-24,2012-01-01,2,1,561,49,22,40
720,Wm. Jennings Bryan Dorn VAMC,SC,7405,2013-02-11,Loss,Laptop,2014-01-23,2013-01-01,2,1,951,41,4,16
721,John J. Pershing VA Medical Center,MO,589,2013-02-20,Theft,Paper,2014-06-20,2013-01-01,2,1,403,24,11,40
722,Oregon Health & Science University,OR,1076,2013-02-22,Theft,Laptop,2014-01-23,2013-01-01,2,1,599,37,11,16
723,Schneck Medical Center,IN,3131,2013-03-14,Unauthorized Access/Disclosure,Other,2014-02-12,2013-01-01,3,1,703,15,22,34
724,The Guidance Center of Westchester,NY,1416,2013-02-21,Theft,Desktop Computer,2014-01-23,2013-01-01,2,1,821,34,11,0
725,Hope Hospice,TX,818,2012-12-27,Other,E-mail,2014-01-23,2012-01-01,12,4,351,44,10,11
726,"IHC Health Services, Inc. dba Intermountain Life Flight",UT,857,2013-03-28,Unauthorized Access/Disclosure,Other,2014-02-12,2013-01-01,3,1,365,45,22,34
727,Valley Mental Health,UT,700,2013-02-27,Theft,Desktop Computer,2014-01-23,2013-01-01,2,1,920,45,11,0
728,Delta Dental of Pennsylvania,PA,14829,2013-03-20,Loss,Paper,2014-01-23,2013-01-01,3,1,222,38,4,40
729,Raleigh Orthopaedic Clinic,NC,17300,2013-01-15,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper,2014-01-23,2013-01-01,1,1,649,27,13,40
730,Laboratory Corporation of America,NC,1580,2013-03-15,Theft,Desktop Computer,2014-02-12,2013-01-01,3,1,437,27,11,0
731,"Arizona Counseling & Treatment Services, LLC",AZ,3800,2013-03-18,Theft,Other Portable Electronic Device,2014-01-23,2013-01-01,3,1,51,3,11,35
732,Wood County Hospital,OH,2500,2013-03-19,Theft,Other,2014-01-23,2013-01-01,3,1,954,35,11,34
733,University of Rochester Medical Center & Affiliates,NY,537,2013-02-15,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,2,1,901,34,4,35
734,Orthopedics & Adult Reconstructive Surgery,TX,22000,2013-03-01,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,3,1,604,44,4,35
735,El Centro Regional Medical Center,CA,189489,2012-11-07,Improper Disposal,Paper,2014-01-23,2012-01-01,11,4,247,4,2,40
736,Seattle - King County Department of Public Health,WA,750,2013-03-07,Improper Disposal,Paper,2014-01-23,2013-01-01,3,1,707,48,2,40
737,Regional Medical Center,TN,1180,2013-02-04,Unauthorized Access/Disclosure,E-mail,2014-01-23,2013-01-01,2,1,656,43,22,11
738,Presbyterian Anesthesia Associates PA,NC,9988,2013-04-01,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,4,2,634,27,0,30
739,"Integrity Oncology, an office of Baptist Medical Group",TN,539,2013-03-05,Other,Desktop Computer,2014-01-23,2013-01-01,3,1,382,43,10,0
740,"Piedmont HealthCare, P.A.",NC,1924,2013-03-28,Hacking/IT Incident,Network Server,2014-01-23,2013-01-01,3,1,628,27,0,30
741,Indiana University Health Arnett,IN,10350,2013-04-09,Theft,Laptop,2014-01-23,2013-01-01,4,2,379,15,11,16
742,"Dent Neurologic Group, LLP",NY,10000,2013-05-13,Other,E-mail,2014-01-23,2013-01-01,5,2,223,34,10,11
743,City of Norwood,OH,9577,2013-04-14,Loss,Laptop,2014-01-23,2013-01-01,4,2,171,35,4,16
744,Lutheran Social Services of South Central Pennsylvania,PA,7803,2012-06-01,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,6,2,475,38,0,30
745,Comfort Dental Marion and Kokomo,IN,5388,2013-03-14,Improper Disposal,Other,2014-01-23,2013-01-01,3,1,185,15,2,34
746,Erskine Family Dentistry,IN,2723,2013-03-19,Hacking/IT Incident,Desktop Computer,2014-02-12,2013-01-01,3,1,253,15,0,0
747,Health Resources of Arkansas,AR,1900,2013-04-14,"Theft, Unauthorized Access/Disclosure",Other,2014-01-23,2013-01-01,4,2,330,2,19,34
748,Various Health Plans,AL,3164,2013-04-14,Theft,Laptop,2014-01-23,2013-01-01,4,2,923,1,11,16
749,Independence Care System,NY,2434,2013-05-07,Theft,Laptop,2014-01-23,2013-01-01,5,2,372,34,11,16
750,Sonoma Valley Hospital,CA,1386,2013-02-14,Other,Other,2014-01-23,2013-01-01,2,1,726,4,10,34
751,University of Florida,FL,5875,2012-02-01,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,2012-01-01,2,1,881,9,19,14
752,"Community Support Services, Inc.",OH,1167,2013-03-20,Theft,E-mail,2014-02-12,2013-01-01,3,1,189,35,11,11
753,UMASSAmherst,MA,1670,2012-10-22,Hacking/IT Incident,Desktop Computer,2014-01-23,2012-01-01,10,4,853,19,0,0
754,Palm Beach County Health Department,FL,877,2013-01-07,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2013-01-01,1,1,611,9,22,0
755,Lucile Packard Children's Hospital,CA,12900,2013-05-08,Theft,Laptop,2014-01-23,2013-01-01,5,2,472,4,11,16
756,Fayetteville VAMC,NC,1093,2013-04-17,Improper Disposal,Paper,2014-01-23,2013-01-01,4,2,260,27,2,40
757,Lincoln County Health and Human Services/Lincoln Community Health Center,OR,959,2013-04-17,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,4,2,458,37,22,40
758,Union Security Insurance Company,MO,1127,2013-05-17,Improper Disposal,E-mail,2014-01-23,2013-01-01,5,2,861,24,2,11
759,"Gulf Breeze Family Eyecare, Inc",FL,9626,2013-03-08,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper",2014-01-23,2013-01-01,3,1,308,9,19,4
760,Jacksonville Spine Center,FL,5200,2013-04-25,Unauthorized Access/Disclosure,Paper,2014-01-23,2013-01-01,4,2,391,9,22,40
761,Iowa Department of Human Services,IA,7335,2013-04-30,"Loss, Unknown",Other,2014-01-23,2013-01-01,4,2,386,12,9,34
762,James A. Fosnaugh,NE,2125,2013-05-01,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,5,2,393,29,4,35
763,Lone Star Circle of Care,TX,1955,2013-05-01,Theft,Laptop,2014-01-23,2013-01-01,5,2,466,44,11,16
764,Aflac,GA,679,2013-05-09,Theft,Laptop,2014-01-23,2013-01-01,5,2,27,10,11,16
765,Indiana Family & Social Services Administration,IN,187533,2013-04-06,Other,Paper,2014-01-23,2013-01-01,4,2,374,15,10,40
766,Northrop Grumman Retiree Health Plan,VA,4305,2013-05-20,Theft,Paper,2014-06-24,2013-01-01,5,2,580,46,11,40
767,"Health Net, Inc.",CA,8331,2013-04-01,Other,Paper,2014-01-23,2013-01-01,4,2,328,4,10,40
768,"South Florida Neurology Associates, P.A.",FL,900,2013-05-25,Theft,Laptop,2014-01-23,2013-01-01,5,2,733,9,11,16
769,Samaritan Regional Health System,OH,2203,2013-05-29,Other,Paper,2014-01-23,2013-01-01,5,2,697,35,10,40
770,MED-EL Coproration,NC,609,2013-06-25,Other,E-mail,2014-01-23,2013-01-01,6,2,479,27,10,11
771,Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center),CA,4479,2011-03-01,Unauthorized Access/Disclosure,E-mail,2014-01-23,2011-01-01,3,1,790,4,22,11
772,Illinois Department of Healthcare and Familiy Services,IL,3133,2013-05-08,Other,Paper,2014-01-23,2013-01-01,5,2,368,14,10,40
773,Delta Dental of Pennsylvania,PA,4718,2013-05-13,Loss,Paper,2014-01-23,2013-01-01,5,2,222,38,4,40
774,"Medtronic, Inc.",MN,2764,2013-03-28,Loss,Paper,2014-01-23,2013-01-01,3,1,504,23,4,40
775,Texas Health Harris Methodist Hospital Fort Worth,TX,277014,2013-05-11,Improper Disposal,Other,2014-01-23,2013-01-01,5,2,806,44,2,34
776,Long Beach Memorial Medical Center,CA,2864,2012-09-01,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2012-01-01,9,3,468,4,22,14
777,Hansen & Associates,WY,2700,2013-05-21,Theft,Desktop Computer,2014-06-10,2013-01-01,5,2,317,51,11,0
778,Sheet Metal Local 36 Welfare Fund,MO,4560,2012-08-01,Unauthorized Access/Disclosure,Other,2014-01-23,2012-01-01,8,3,716,24,22,34
779,Harris County,TX,21000,2005-08-15,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2005-01-01,8,3,319,44,22,0
780,"San Jose Medical Supply Co., Inc.",CA,800,2011-10-01,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Desktop Computer, Network Server",2014-01-23,2011-01-01,10,4,699,4,20,3
781,"GEO Care, LLC",FL,710,2013-04-16,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2013-01-01,4,2,279,9,22,0
782,The Brookdale Hospital and Medical Center,NY,2700,2013-05-24,Loss,Other Portable Electronic Device,2014-01-23,2013-01-01,5,2,811,34,4,35
783,Louisiana State University Health Care Services Division,LA,6994,2011-12-01,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2011-01-01,12,4,471,18,22,0
784,Oregon Health & Science University,OR,1361,2011-01-01,Unauthorized Access/Disclosure,Other,2014-01-31,2011-01-01,1,1,599,37,22,34
785,"Rocky Mountain Spine Clinic, P.C.",CO,532,2013-06-11,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,2013-01-01,6,2,679,5,19,30
786,"Vitreo-Retinal Medical Group, Inc. ",CA,1837,2013-06-05,Theft,Laptop,2014-01-23,2013-01-01,6,2,928,4,11,16
